Id,Predicted
0,2
1,5
2,0 5 25
3,0
4,25
5,4
6,4 25
7,0
8,0
9,25
10,18 25
11,3
12,2 25
13,7
14,25
15,18 25
16,2 14
17,0 5
18,14
19,0 5
20,6
21,5
22,0 18
23,0
24,4
25,21 25
26,21
27,0
28,0 25
29,0 5
30,0 13 21
31,0 19
32,14 17 18
33,5
34,0 7
35,13
36,25
37,3
38,0 21
39,1
40,0 25
41,6
42,0
43,25
44,25
45,25
46,0
47,0
48,6
49,0
50,25
51,0 5
52,20
53,25
54,3
55,0
56,0 25
57,11
58,0 25
59,25
60,2 20
61,0 5
62,14
63,0
64,23
65,0 25
66,3 25
67,0 17 25
68,0
69,14
70,2
71,0 2
72,14
73,4
74,0 21
75,0
76,4
77,0 1
78,0 25
79,0 25
80,0
81,0
82,0
83,21 25
84,18
85,0
86,23
87,0 21
88,14
89,11
90,0 25
91,11
92,23
93,13
94,23
95,0 25
96,25
97,0
98,24
99,0 23 25
100,25
101,23
102,11
103,23
104,11
105,2 21 25
106,0 14 16 17
107,0
108,20
109,0
110,2
111,1
112,16 17
113,0 22
114,25
115,21 25
116,0
117,4
118,14
119,26
120,18 19
121,25
122,2 25
123,20
124,0
125,0
126,0 21
127,6
128,4
129,19
130,25
131,0
132,0
133,0
134,0 11
135,5
136,0
137,0
138,21
139,21 25
140,0 19
141,25
142,0 1
143,5
144,25
145,22
146,0
147,21 25
148,0
149,25
150,0
151,17 18
152,0
153,0 25
154,25
155,6
156,0
157,0 25
158,1
159,25
160,0 19 25
161,25
162,0
163,4
164,5
165,0 2
166,0 25
167,19
168,21 25
169,25
170,5 25
171,25
172,0
173,23
174,0 2
175,0
176,22
177,0 7 25
178,0 12
179,0
180,0
181,23
182,0
183,0
184,14
185,0 25
186,0 21
187,0
188,23
189,16 21
190,14 16
191,4 25
192,25
193,25
194,0 5 25
195,13
196,0 25
197,16
198,23
199,0 25
200,2 21
201,3
202,0
203,0 25
204,0 3 19 25
205,21
206,0 25
207,0 5
208,0
209,21
210,0 14
211,0
212,7
213,0
214,19
215,0
216,26
217,7
218,22
219,3
220,0
221,14 25
222,0
223,2
224,20
225,23
226,11
227,2 25
228,19
229,0 24
230,11
231,0 11
232,0 2
233,0 23
234,0 23 25
235,11
236,26
237,12
238,0 21
239,17 25
240,21
241,23
242,25
243,0 25
244,14
245,12 23
246,25
247,4
248,13
249,0
250,0 25
251,0 25
252,2 25
