Id,Predicted
0,2
1,5
2,0 5 25
3,0 25
4,23 25
5,4
6,4 25
7,0 25
8,0
9,25
10,18 25
11,3
12,2 25
13,25
14,25
15,18 25
16,2 14
17,5
18,14 21
19,0 5
20,6
21,5
22,0 25
23,0
24,0 4
25,21 25
26,0 21
27,0
28,0 25
29,5
30,21
31,0 18 19
32,14 17 18
33,0 5 25
34,0 7
35,13
36,25
37,3
38,0 21 25
39,1
40,0 25
41,25
42,0 25
43,19 25
44,25
45,20
46,0
47,0
48,6
49,0
50,25
51,0 5
52,20
53,25
54,3
55,0 25
56,0 25
57,11
58,0 25
59,25
60,2
61,0 5
62,14
63,0
64,23
65,0 25
66,3 25
67,0 25
68,0
69,21 25
70,2
71,0 2
72,14
73,16
74,0 21 25
75,0
76,0 4
77,0 1
78,0 25
79,0 25
80,0 25
81,0 25
82,0 25
83,21 25
84,18 19
85,0
86,23
87,0 21
88,14
89,11 14
90,0 25
91,11
92,23
93,13
94,25
95,0 25
96,25
97,0 7
98,24
99,0 23 25
100,25
101,23
102,0
103,0 23
104,25
105,21 25
106,0 14 16 17
107,0
108,20
109,0 25
110,0 2 25
111,1
112,16 17 18 25
113,0 5 21 22 25
114,25
115,21 25
116,0 2 25
117,4
118,25
119,26
120,0 18 19 25
121,21 25
122,2 25
123,20
124,0
125,0
126,0 21 25
127,6 25
128,4
129,18 19
130,25
131,0 25
132,0
133,0
134,0 11
135,5
136,0
137,0
138,21
139,21 25
140,0
141,25
142,0 1
143,0
144,25
145,22
146,0
147,21 25
148,0
149,25
150,0
151,17 18
152,0
153,0 25
154,7 25
155,6
156,0
157,0 21 25
158,1
159,25
160,0 19 25
161,0 25
162,0
163,4
164,5
165,0
166,0 25
167,19
168,21 25
169,25
170,5 25
171,0 25
172,0 25
173,7
174,0 2
175,0
176,21
177,0 7 25
178,0 12 21
179,2 25
180,0
181,6 23
182,0
183,0
184,14
185,0 25
186,0 21 25
187,0 7
188,23
189,16 21 25
190,14 21 25
191,4 25
192,25
193,25
194,0 5 25
195,13
196,0 25
197,0 7
198,25
199,0 25
200,2 21
201,3 25
202,0
203,0 25
204,0 3 19 25
205,21
206,0 25
207,0 5
208,0 25
209,0 21
210,0 14
211,0
212,7
213,0
214,19
215,0 25
216,24
217,7
218,22
219,2 3
220,0
221,14 25
222,0
223,2 12
224,6
225,23
226,21
227,21 25
228,0 19
229,0 24
230,11
231,0 11
232,0 2
